"AnoYear","BanderaFlag","ArteGear","EspeciesSpecies","t"
1951,"CHL","HAR","SWO",870.00
1951,"CHL","UNK","BZX",3973.00
1951,"UNK","LP","SKJ",45617.00
1951,"UNK","LP","YFT",65499.00
1951,"UNK","PS","SKJ",5790.00
1951,"UNK","PS","YFT",6598.00
1951,"UNK","UNK","SKJ",3523.00
1951,"UNK","UNK","YFT",12279.00
1952,"CHL","HAR","SWO",570.00
1952,"CHL","UNK","BZX",4886.00
1952,"UNK","LP","SKJ",32724.00
1952,"UNK","LP","YFT",66108.00
1952,"UNK","PS","SKJ",4806.00
1952,"UNK","PS","YFT",13735.00
1952,"UNK","UNK","SKJ",3657.00
1952,"UNK","UNK","YFT",8734.00
1952,"USA","HAR","SWO",175.00
1952,"USA","LTL","ALB",23843.00
1952,"USA","PS","PBF",2076.00
1952,"USA","RG","ALB",1373.00
1952,"USA","RG","PBF",2.00
1953,"CHL","HAR","SWO",416.00
1953,"CHL","UNK","BZX",1974.00
1953,"UNK","LP","SKJ",50812.00
1953,"UNK","LP","YFT",43920.00
1953,"UNK","PS","SKJ",5171.00
1953,"UNK","PS","YFT",16121.00
1953,"UNK","UNK","SKJ",4663.00
1953,"UNK","UNK","YFT",3482.00
1953,"USA","HAR","SWO",94.00
1953,"USA","LTL","ALB",15740.00
1953,"USA","PS","PBF",4433.00
1953,"USA","RG","ALB",171.00
1953,"USA","RG","PBF",48.00
1954,"CHL","HAR","SWO",334.00
1954,"CHL","UNK","BZX",4405.00
1954,"JPN","LL","ALB",0.00
1954,"JPN","LL","BET",1610.00
1954,"JPN","LL","BLM",13.00
1954,"JPN","LL","BUM",284.00
1954,"JPN","LL","MLS",23.00
1954,"JPN","LL","SKJ",1.00
1954,"JPN","LL","SWO",17.00
1954,"JPN","LL","YFT",209.00
1954,"PER","UNK","SWO",700.00
1954,"UNK","LP","SKJ",61221.00
1954,"UNK","LP","YFT",46541.00
1954,"UNK","PS","SKJ",8519.00
1954,"UNK","PS","YFT",7625.00
1954,"UNK","UNK","SKJ",9051.00
1954,"UNK","UNK","YFT",9353.00
1954,"USA","HAR","SWO",15.00
1954,"USA","LTL","ALB",12246.00
1954,"USA","PS","PBF",9537.00
1954,"USA","RG","ALB",147.00
1954,"USA","RG","PBF",11.00
1955,"CHL","HAR","SWO",237.00
1955,"CHL","UNK","BZX",7500.00
1955,"JPN","LL","ALB",0.00
1955,"JPN","LL","BET",1810.00
1955,"JPN","LL","BLM",34.00
1955,"JPN","LL","BUM",789.00
1955,"JPN","LL","MLS",16.00
1955,"JPN","LL","SKJ",2.00
1955,"JPN","LL","SWO",14.00
1955,"JPN","LL","YFT",427.00
1955,"PER","UNK","SWO",400.00
1955,"UNK","LP","YFT",50811.00
1955,"UNK","PS","YFT",13086.00
1955,"UNK","UNK","SKJ",63912.00
1955,"USA","HAR","SWO",89.00
1955,"USA","LTL","ALB",13264.00
1955,"USA","PS","PBF",6173.00
1955,"USA","RG","ALB",577.00
1955,"USA","RG","PBF",93.00
1956,"CHL","HAR","SWO",386.00
1956,"CHL","UNK","BZX",4136.00
1956,"JPN","LL","ALB",305.00
1956,"JPN","LL","BET",2408.00
1956,"JPN","LL","BLM",27.00
1956,"JPN","LL","BUM",1732.00
1956,"JPN","LL","MLS",67.00
1956,"JPN","LL","SKJ",0.00
1956,"JPN","LL","SWO",13.00
1956,"JPN","LL","YFT",967.00
1956,"PER","UNK","SWO",600.00
1956,"UNK","LP","YFT",58828.00
1956,"UNK","PS","YFT",21470.00
1956,"UNK","UNK","SKJ",80287.00
1956,"USA","HAR","SWO",181.00
1956,"USA","LTL","ALB",18751.00
1956,"USA","PS","PBF",5727.00
1956,"USA","RG","ALB",482.00
1956,"USA","RG","PBF",388.00
1957,"CHL","HAR","SWO",357.00
1957,"CHL","UNK","BZX",2144.00
1957,"JPN","LL","ALB",692.00
1957,"JPN","LL","BET",9698.00
1957,"JPN","LL","BLM",194.00
1957,"JPN","LL","BUM",3717.00
1957,"JPN","LL","MLS",149.00
1957,"JPN","LL","PBF",0.00
1957,"JPN","LL","SKJ",13.00
1957,"JPN","LL","SWO",120.00
1957,"JPN","LL","YFT",5854.00
1957,"PER","UNK","SWO",600.00
1957,"UNK","LP","YFT",58402.00
1957,"UNK","PS","YFT",15544.00
1957,"UNK","UNK","SKJ",73936.00
1957,"USA","HAR","SWO",247.00
1957,"USA","LTL","ALB",21165.00
1957,"USA","PS","PBF",9215.00
1957,"USA","RG","ALB",304.00
1957,"USA","RG","PBF",73.00
1958,"CHL","HAR","SWO",392.00
1958,"JPN","LL","ALB",2005.00
1958,"JPN","LL","BET",10592.00
1958,"JPN","LL","BLM",156.00
1958,"JPN","LL","BUM",3767.00
1958,"JPN","LL","MLS",326.00
1958,"JPN","LL","PBF",1.00
1958,"JPN","LL","SKJ",31.00
1958,"JPN","LL","SWO",97.00
1958,"JPN","LL","YFT",4927.00
1958,"PER","UNK","SWO",400.00
1958,"UNK","LP","YFT",46776.00
1958,"UNK","PS","YFT",20560.00
1958,"UNK","UNK","SKJ",67994.00
1958,"USA","HAR","SWO",310.00
1958,"USA","LTL","ALB",14855.00
1958,"USA","PS","PBF",13934.00
1958,"USA","RG","ALB",48.00
1958,"USA","RG","PBF",10.00
1959,"CHL","HAR","SWO",555.00
1959,"CHL","LP","SKJ",33.00
1959,"CHL","LP","YFT",222.00
1959,"CHL","UNK","BZX",2566.00
1959,"COL","UNK","SKJ",44.00
1959,"COL","UNK","YFT",234.00
1959,"ECU","LP","SKJ",5622.00
1959,"ECU","LP","YFT",226.00
1959,"ECU","PS","SKJ",458.00
1959,"ECU","PS","YFT",25.00
1959,"ECU","UNK","SKJ",697.00
1959,"ECU","UNK","YFT",208.00
1959,"JPN","LL","ALB",2617.00
1959,"JPN","LL","BET",11515.00
1959,"JPN","LL","BLM",132.00
1959,"JPN","LL","BUM",3084.00
1959,"JPN","LL","MLS",371.00
1959,"JPN","LL","PBF",4.00
1959,"JPN","LL","SKJ",32.00
1959,"JPN","LL","SWO",71.00
1959,"JPN","LL","YFT",3437.00
1959,"MEX","LP","PBF",32.00
1959,"MEX","LP","SKJ",1086.00
1959,"MEX","LP","YFT",812.00
1959,"MEX","PS","CGX",27.00
1959,"MEX","PS","PBF",171.00
1959,"MEX","PS","SKJ",407.00
1959,"MEX","PS","YFT",590.00
1959,"MEX","UNK","SKJ",122.00
1959,"MEX","UNK","YFT",227.00
1959,"PER","PS","SKJ",4514.00
1959,"PER","PS","YFT",2703.00
1959,"PER","UNK","SWO",400.00
1959,"USA","HAR","SWO",295.00
1959,"USA","LP","ALB",1617.00
1959,"USA","LP","PBF",56.00
1959,"USA","LP","SKJ",54112.00
1959,"USA","LP","YFT",26181.00
1959,"USA","LTL","ALB",20990.00
1959,"USA","PS","ALB",1.00
1959,"USA","PS","BZX",330.00
1959,"USA","PS","PBF",3506.00
1959,"USA","PS","SKJ",12579.00
1959,"USA","PS","YFT",26732.00
1959,"USA","RG","ALB",0.00
1959,"USA","UNK","SKJ",20.00
1959,"USA","UNK","YFT",1.00
1960,"CHL","HAR","SWO",456.00
1960,"CHL","LP","SKJ",37.00
1960,"CHL","LP","YFT",65.00
1960,"CHL","UNK","BZX",2313.00
1960,"COL","UNK","SKJ",216.00
1960,"COL","UNK","YFT",114.00
1960,"ECU","LP","SKJ",5478.00
1960,"ECU","LP","YFT",402.00
1960,"ECU","PS","SKJ",480.00
1960,"ECU","PS","YFT",50.00
1960,"ECU","UNK","SKJ",179.00
1960,"ECU","UNK","YFT",51.00
1960,"JPN","LL","ALB",2668.00
1960,"JPN","LL","BET",17722.00
1960,"JPN","LL","BLM",166.00
1960,"JPN","LL","BUM",2682.00
1960,"JPN","LL","MLS",529.00
1960,"JPN","LL","PBF",3.00
1960,"JPN","LL","SKJ",28.00
1960,"JPN","LL","SWO",137.00
1960,"JPN","LL","YFT",5934.00
1960,"MEX","LP","SKJ",656.00
1960,"MEX","LP","YFT",827.00
1960,"MEX","PS","SKJ",205.00
1960,"MEX","PS","YFT",1191.00
1960,"MEX","UNK","SKJ",58.00
1960,"MEX","UNK","YFT",293.00
1960,"PAN","LP","SKJ",173.00
1960,"PAN","LP","YFT",5.00
1960,"PER","PS","SKJ",3325.00
1960,"PER","PS","YFT",1502.00
1960,"PER","UNK","SWO",400.00
1960,"USA","HAR","SWO",214.00
1960,"USA","LP","ALB",2518.00
1960,"USA","LP","SKJ",22585.00
1960,"USA","LP","YFT",20852.00
1960,"USA","LTL","ALB",20100.00
1960,"USA","PS","ALB",106.00
1960,"USA","PS","BET",24.00
1960,"USA","PS","BZX",2248.00
1960,"USA","PS","PBF",4547.00
1960,"USA","PS","SKJ",12640.00
1960,"USA","PS","YFT",76682.00
1960,"USA","RG","ALB",557.00
1960,"USA","UNK","SKJ",0.00
1960,"USA","UNK","YFT",0.00
1961,"CHL","HAR","SWO",394.00
1961,"CHL","UNK","BZX",3586.00
1961,"ECU","LP","SKJ",10954.00
1961,"ECU","LP","YFT",354.00
1961,"ECU","UNK","SKJ",137.00
1961,"ECU","UNK","YFT",309.00
1961,"JPN","LL","ALB",2842.00
1961,"JPN","LL","BET",52431.00
1961,"JPN","LL","BLM",394.00
1961,"JPN","LL","BUM",6248.00
1961,"JPN","LL","MLS",2033.00
1961,"JPN","LL","PBF",5.00
1961,"JPN","LL","SKJ",46.00
1961,"JPN","LL","SWO",568.00
1961,"JPN","LL","YFT",12500.00
1961,"MEX","LP","ALB",39.00
1961,"MEX","LP","BZX",144.00
1961,"MEX","LP","CGX",38.00
1961,"MEX","LP","SKJ",471.00
1961,"MEX","LP","YFT",388.00
1961,"MEX","PS","ALB",2.00
1961,"MEX","PS","BET",10.00
1961,"MEX","PS","PBF",130.00
1961,"MEX","PS","SKJ",512.00
1961,"MEX","PS","YFT",864.00
1961,"MEX","UNK","YFT",237.00
1961,"OTR","LP","SKJ",109.00
1961,"OTR","LP","YFT",362.00
1961,"OTR","PS","SKJ",4974.00
1961,"OTR","PS","YFT",598.00
1961,"PER","UNK","SWO",300.00
1961,"USA","HAR","SWO",243.00
1961,"USA","LP","ALB",1594.00
1961,"USA","LP","BET",106.00
1961,"USA","LP","PBF",16.00
1961,"USA","LP","SKJ",17461.00
1961,"USA","LP","YFT",14115.00
1961,"USA","LTL","ALB",12055.00
1961,"USA","PS","ALB",786.00
1961,"USA","PS","BET",94.00
1961,"USA","PS","BZX",2765.00
1961,"USA","PS","CGX",125.00
1961,"USA","PS","MZZ",51.00
1961,"USA","PS","PBF",7989.00
1961,"USA","PS","SKJ",40220.00
1961,"USA","PS","YFT",78596.00
1961,"USA","RG","ALB",1355.00
1961,"USA","UNK","SKJ",246.00
1961,"USA","UNK","YFT",403.00
1962,"CAN","UNK","ALB",21.00
1962,"CAN","UNK","PBF",122.00
1962,"CAN","UNK","SKJ",8.00
1962,"CHL","HAR","SWO",297.00
1962,"CHL","UNK","BZX",2218.00
1962,"CHL","UNK","SKJ",78.00
1962,"CHL","UNK","YFT",365.00
1962,"COL","UNK","SKJ",152.00
1962,"COL","UNK","YFT",86.00
1962,"ECU","LP","SKJ",9509.00
1962,"ECU","LP","YFT",526.00
1962,"ECU","UNK","SKJ",219.00
1962,"ECU","UNK","YFT",255.00
1962,"JPN","LL","ALB",6534.00
1962,"JPN","LL","BET",45050.00
1962,"JPN","LL","BLM",469.00
1962,"JPN","LL","BUM",7437.00
1962,"JPN","LL","MLS",3718.00
1962,"JPN","LL","PBF",27.00
1962,"JPN","LL","SKJ",45.00
1962,"JPN","LL","SWO",971.00
1962,"JPN","LL","YFT",10211.00
1962,"MEX","PS","PBF",294.00
1962,"MEX","PS","SKJ",761.00
1962,"MEX","PS","YFT",1190.00
1962,"OTR","LP","SKJ",237.00
1962,"OTR","LP","YFT",624.00
1962,"OTR","PS","SKJ",915.00
1962,"OTR","PS","YFT",282.00
1962,"PAN","LP","SKJ",717.00
1962,"PAN","LP","YFT",2061.00
1962,"PER","PS","SKJ",2956.00
1962,"PER","PS","YFT",4732.00
1962,"PER","UNK","SWO",400.00
1962,"UNK","LP","BZX",306.00
1962,"UNK","LP","CGX",110.00
1962,"UNK","PS","ALB",20.00
1962,"UNK","PS","PBF",82.00
1962,"USA","HAR","SWO",26.00
1962,"USA","LP","ALB",939.00
1962,"USA","LP","BET",318.00
1962,"USA","LP","SKJ",7198.00
1962,"USA","LP","YFT",7841.00
1962,"USA","LTL","ALB",19752.00
1962,"USA","PS","ALB",191.00
1962,"USA","PS","BET",302.00
1962,"USA","PS","BZX",2937.00
1962,"USA","PS","CGX",30.00
1962,"USA","PS","MZZ",26.00
1962,"USA","PS","PBF",10769.00
1962,"USA","PS","SKJ",54307.00
1962,"USA","PS","YFT",50066.00
1962,"USA","RG","ALB",1681.00
1962,"USA","UNK","SKJ",1.00
1962,"USA","UNK","YFT",2.00
1963,"CHL","HAR","SWO",94.00
1963,"CHL","LP","SKJ",207.00
1963,"CHL","LP","YFT",374.00
1963,"CHL","UNK","BZX",2553.00
1963,"COL","UNK","SKJ",242.00
1963,"COL","UNK","YFT",70.00
1963,"ECU","LP","BET",1.00
1963,"ECU","LP","SKJ",10313.00
1963,"ECU","LP","YFT",344.00
1963,"ECU","UNK","SKJ",1839.00
1963,"ECU","UNK","YFT",498.00
1963,"JPN","LL","ALB",13616.00
1963,"JPN","LL","BET",66617.00
1963,"JPN","LL","BLM",818.00
1963,"JPN","LL","BUM",12043.00
1963,"JPN","LL","MLS",7241.00
1963,"JPN","LL","PBF",17.00
1963,"JPN","LL","SKJ",185.00
1963,"JPN","LL","SWO",1886.00
1963,"JPN","LL","YFT",18973.00
1963,"MEX","PS","ALB",31.00
1963,"MEX","PS","PBF",412.00
1963,"MEX","PS","SKJ",916.00
1963,"MEX","PS","YFT",1234.00
1963,"OTR","LP","SKJ",341.00
1963,"OTR","LP","YFT",304.00
1963,"PAN","LP","SKJ",396.00
1963,"PAN","LP","YFT",1066.00
1963,"PAN","PS","SKJ",2569.00
1963,"PAN","PS","YFT",362.00
1963,"PER","PS","BZX",27.00
1963,"PER","PS","SKJ",4562.00
1963,"PER","PS","YFT",2282.00
1963,"PER","UNK","SWO",200.00
1963,"UNK","LP","BZX",143.00
1963,"UNK","LP","CGX",96.00
1963,"UNK","PS","SKJ",544.00
1963,"UNK","PS","YFT",15.00
1963,"USA","HAR","SWO",64.00
1963,"USA","LP","ALB",2203.00
1963,"USA","LP","BET",138.00
1963,"USA","LP","BZX",49.00
1963,"USA","LP","CGX",9.00
1963,"USA","LP","PBF",28.00
1963,"USA","LP","SKJ",5882.00
1963,"USA","LP","YFT",4954.00
1963,"USA","LTL","ALB",25140.00
1963,"USA","PS","ALB",1189.00
1963,"USA","PS","BZX",2904.00
1963,"USA","PS","CGX",135.00
1963,"USA","PS","PBF",11832.00
1963,"USA","PS","SKJ",73812.00
1963,"USA","PS","YFT",44110.00
1963,"USA","RG","ALB",1161.00
1963,"USA","UNK","SKJ",122.00
1963,"USA","UNK","YFT",121.00
1964,"CHL","HAR","SWO",312.00
1964,"CHL","UNK","BZX",6244.00
1964,"COL","UNK","SKJ",201.00
1964,"COL","UNK","YFT",40.00
1964,"ECU","LP","SKJ",5660.00
1964,"ECU","LP","YFT",152.00
1964,"ECU","UNK","SKJ",3305.00
1964,"ECU","UNK","YFT",698.00
1964,"JPN","LL","ALB",6730.00
1964,"JPN","LL","BET",46268.00
1964,"JPN","LL","BLM",609.00
1964,"JPN","LL","BUM",6092.00
1964,"JPN","LL","MLS",11461.00
1964,"JPN","LL","PBF",4.00
1964,"JPN","LL","SKJ",102.00
1964,"JPN","LL","SWO",3017.00
1964,"JPN","LL","YFT",16968.00
1964,"MEX","PS","BZX",136.00
